Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
GDP per capita (current US$),NY.GDP.PCAP.CD,Georgia,GEO,4696.15058555612
GDP per capita (current US$),NY.GDP.PCAP.CD,Germany,DEU,46805.1384334439
GDP per capita (current US$),NY.GDP.PCAP.CD,Ghana,GHA,2167.92544000869
GDP per capita (current US$),NY.GDP.PCAP.CD,Gibraltar,GIB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Greece,GRC,19143.8876174584
GDP per capita (current US$),NY.GDP.PCAP.CD,Greenland,GRL,53309.2035905065
GDP per capita (current US$),NY.GDP.PCAP.CD,Grenada,GRD,9887.92074235834
GDP per capita (current US$),NY.GDP.PCAP.CD,Guam,GUM,37752.633077142
GDP per capita (current US$),NY.GDP.PCAP.CD,Guatemala,GTM,4647.80754129437
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea,GIN,1043.89988618266
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea-Bissau,GNB,730.611432270196
GDP per capita (current US$),NY.GDP.PCAP.CD,Guyana,GUY,6477.29672607993
GDP per capita (current US$),NY.GDP.PCAP.CD,Haiti,HTI,1345.4750547884
GDP per capita (current US$),NY.GDP.PCAP.CD,Honduras,HND,2519.36618467309
GDP per capita (current US$),NY.GDP.PCAP.CD,"Hong Kong SAR, China",HKG,48359.0011950597
GDP per capita (current US$),NY.GDP.PCAP.CD,Hungary,HUN,16786.2136399075
GDP per capita (current US$),NY.GDP.PCAP.CD,Iceland,ISL,68452.23622306
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,2050.1638002619
GDP per capita (current US$),NY.GDP.PCAP.CD,Indonesia,IDN,4151.22755440796
GDP per capita (current US$),NY.GDP.PCAP.CD,"Iran, Islamic Rep.",IRN,3276.75326508099
GDP per capita (current US$),NY.GDP.PCAP.CD,Iraq,IRQ,5621.18169491752
GDP per capita (current US$),NY.GDP.PCAP.CD,Ireland,IRL,80848.3019020489
GDP per capita (current US$),NY.GDP.PCAP.CD,Isle of Man,IMN,87152.4530176191
GDP per capita (current US$),NY.GDP.PCAP.CD,Israel,ISR,44452.2325623093
GDP per capita (current US$),NY.GDP.PCAP.CD,Italy,ITA,33673.7509627421
GDP per capita (current US$),NY.GDP.PCAP.CD,Jamaica,JAM,5626.17047314286
GDP per capita (current US$),NY.GDP.PCAP.CD,Japan,JPN,40415.9567649547
GDP per capita (current US$),NY.GDP.PCAP.CD,Jordan,JOR,4159.6537537759
GDP per capita (current US$),NY.GDP.PCAP.CD,Kazakhstan,KAZ,9812.59552626324
GDP per capita (current US$),NY.GDP.PCAP.CD,Kenya,KEN,1970.08007048615
GDP per capita (current US$),NY.GDP.PCAP.CD,Kiribati,KIR,1410.01464320535
GDP per capita (current US$),NY.GDP.PCAP.CD,"Korea, Dem. People's Rep.",PRK,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Korea, Rep.",KOR,31902.4169048194
GDP per capita (current US$),NY.GDP.PCAP.CD,Kosovo,XKX,4416.02925267842
GDP per capita (current US$),NY.GDP.PCAP.CD,Kuwait,KWT,30666.2371314234
GDP per capita (current US$),NY.GDP.PCAP.CD,Kyrgyz Republic,KGZ,1451.51563835807
GDP per capita (current US$),NY.GDP.PCAP.CD,Lao PDR,LAO,2598.50552320723
GDP per capita (current US$),NY.GDP.PCAP.CD,Latvia,LVA,17883.3494113217
GDP per capita (current US$),NY.GDP.PCAP.CD,Lebanon,LBN,8925.42186017072
GDP per capita (current US$),NY.GDP.PCAP.CD,Lesotho,LSO,1061.22335618067
GDP per capita (current US$),NY.GDP.PCAP.CD,Liberia,LBR,665.878447568436
GDP per capita (current US$),NY.GDP.PCAP.CD,Libya,LBY,10542.4290201042
GDP per capita (current US$),NY.GDP.PCAP.CD,Liechtenstein,LIE,167259.160311816
GDP per capita (current US$),NY.GDP.PCAP.CD,Lithuania,LTU,19615.5491450175
GDP per capita (current US$),NY.GDP.PCAP.CD,Luxembourg,LUX,112726.439672814
GDP per capita (current US$),NY.GDP.PCAP.CD,"Macao SAR, China",MAC,82998.6361006441
GDP per capita (current US$),NY.GDP.PCAP.CD,Madagascar,MDG,512.27966560241
GDP per capita (current US$),NY.GDP.PCAP.CD,Malawi,MWI,584.362867276266
GDP per capita (current US$),NY.GDP.PCAP.CD,Malaysia,MYS,11132.1027429418
GDP per capita (current US$),NY.GDP.PCAP.CD,Maldives,MDV,11349.8592642235
GDP per capita (current US$),NY.GDP.PCAP.CD,Mali,MLI,840.175746366299
GDP per capita (current US$),NY.GDP.PCAP.CD,Malta,MLT,31727.0070746362
GDP per capita (current US$),NY.GDP.PCAP.CD,Marshall Islands,MHL,5186.83384237084
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritania,MRT,1800.87518658218
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritius,MUS,11403.2527870674
GDP per capita (current US$),NY.GDP.PCAP.CD,Mexico,MEX,10434.5783651735
GDP per capita (current US$),NY.GDP.PCAP.CD,"Micronesia, Fed. Sts.",FSM,3734.99492723045
GDP per capita (current US$),NY.GDP.PCAP.CD,Moldova,MDA,4404.95042249597
GDP per capita (current US$),NY.GDP.PCAP.CD,Monaco,MCO,199382.838585354
GDP per capita (current US$),NY.GDP.PCAP.CD,Mongolia,MNG,4394.94715044543
GDP per capita (current US$),NY.GDP.PCAP.CD,Montenegro,MNE,8909.6538759126
GDP per capita (current US$),NY.GDP.PCAP.CD,Morocco,MAR,3498.58276367188
GDP per capita (current US$),NY.GDP.PCAP.CD,Mozambique,MOZ,512.21576378384
GDP per capita (current US$),NY.GDP.PCAP.CD,Myanmar,MMR,1415.37967619462
GDP per capita (current US$),NY.GDP.PCAP.CD,Namibia,NAM,5126.17614281673
GDP per capita (current US$),NY.GDP.PCAP.CD,Nauru,NRU,10316.5278229326
GDP per capita (current US$),NY.GDP.PCAP.CD,Nepal,NPL,1185.68231817311
GDP per capita (current US$),NY.GDP.PCAP.CD,Netherlands,NLD,52476.2732533327
GDP per capita (current US$),NY.GDP.PCAP.CD,New Caledonia,NCL,34934.5794300065
GDP per capita (current US$),NY.GDP.PCAP.CD,New Zealand,NZL,42796.4305818389
GDP per capita (current US$),NY.GDP.PCAP.CD,Nicaragua,NIC,1905.63832831484
GDP per capita (current US$),NY.GDP.PCAP.CD,Niger,NER,549.81612778082
GDP per capita (current US$),NY.GDP.PCAP.CD,Nigeria,NGA,2334.02364318105
GDP per capita (current US$),NY.GDP.PCAP.CD,North Macedonia,MKD,6070.38805358275
GDP per capita (current US$),NY.GDP.PCAP.CD,Northern Mariana Islands,MNP,23687.2718520599
GDP per capita (current US$),NY.GDP.PCAP.CD,Norway,NOR,76430.5889473338
GDP per capita (current US$),NY.GDP.PCAP.CD,Oman,OMN,19132.1522739094
GDP per capita (current US$),NY.GDP.PCAP.CD,Pakistan,PAK,1437.1658330724
GDP per capita (current US$),NY.GDP.PCAP.CD,Palau,PLW,15738.4670127261
GDP per capita (current US$),NY.GDP.PCAP.CD,Panama,PAN,16472.8317470488
GDP per capita (current US$),NY.GDP.PCAP.CD,Papua New Guinea,PNG,2593.77555393227
GDP per capita (current US$),NY.GDP.PCAP.CD,Paraguay,PRY,5807.83879407975
GDP per capita (current US$),NY.GDP.PCAP.CD,Peru,PER,6955.88082448096
GDP per capita (current US$),NY.GDP.PCAP.CD,Philippines,PHL,3413.84904430419
GDP per capita (current US$),NY.GDP.PCAP.CD,Poland,POL,15700.0135796738
GDP per capita (current US$),NY.GDP.PCAP.CD,Portugal,PRT,23330.817288932
GDP per capita (current US$),NY.GDP.PCAP.CD,Puerto Rico,PRI,32916.866800639
GDP per capita (current US$),NY.GDP.PCAP.CD,Qatar,QAT,62827.3969543275
GDP per capita (current US$),NY.GDP.PCAP.CD,Romania,ROU,12957.9991142218
GDP per capita (current US$),NY.GDP.PCAP.CD,Russian Federation,RUS,11536.2587890625
GDP per capita (current US$),NY.GDP.PCAP.CD,Rwanda,RWA,806.100820273159
GDP per capita (current US$),NY.GDP.PCAP.CD,Samoa,WSM,4308.3007294066
GDP per capita (current US$),NY.GDP.PCAP.CD,San Marino,SMR,47287.3983948633
GDP per capita (current US$),NY.GDP.PCAP.CD,Sao Tome and Principe,STP,1924.40814952173
GDP per capita (current US$),NY.GDP.PCAP.CD,Saudi Arabia,SAU,23405.7060995766
GDP per capita (current US$),NY.GDP.PCAP.CD,Senegal,SEN,1462.67835252138
GDP per capita (current US$),NY.GDP.PCAP.CD,Serbia,SRB,7417.20660836868
GDP per capita (current US$),NY.GDP.PCAP.CD,Seychelles,SYC,16851.1197648771
GDP per capita (current US$),NY.GDP.PCAP.CD,Sierra Leone,SLE,506.606913779078
GDP per capita (current US$),NY.GDP.PCAP.CD,Singapore,SGP,66070.4868123062
GDP per capita (current US$),NY.GDP.PCAP.CD,Sint Maarten (Dutch part),SXM,33836.7733501056
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovak Republic,SVK,19381.8905468746
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovenia,SVN,26042.4463468032
GDP per capita (current US$),NY.GDP.PCAP.CD,Solomon Islands,SLB,2398.77305007963
GDP per capita (current US$),NY.GDP.PCAP.CD,Somalia,SOM,589.465891901577
GDP per capita (current US$),NY.GDP.PCAP.CD,South Africa,ZAF,6702.52661666304
GDP per capita (current US$),NY.GDP.PCAP.CD,South Sudan,SSD,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Spain,ESP,29581.5185513299
GDP per capita (current US$),NY.GDP.PCAP.CD,Sri Lanka,LKA,4082.69404871533
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Kitts and Nevis,KNA,23204.9705641255
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Lucia,LCA,11773.4274818992
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Martin (French part),MAF,19691.6167115689
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Vincent and the Grenadines,VCT,8680.25110238522
GDP per capita (current US$),NY.GDP.PCAP.CD,Sudan,SDN,748.010925292969
GDP per capita (current US$),NY.GDP.PCAP.CD,Suriname,SUR,6690.04478601228
GDP per capita (current US$),NY.GDP.PCAP.CD,Sweden,SWE,51939.4297445291
GDP per capita (current US$),NY.GDP.PCAP.CD,Switzerland,CHE,84121.9310304414
GDP per capita (current US$),NY.GDP.PCAP.CD,Syrian Arab Republic,SYR,1124.52055370091
GDP per capita (current US$),NY.GDP.PCAP.CD,Tajikistan,TJK,889.023371804416
GDP per capita (current US$),NY.GDP.PCAP.CD,Tanzania,TZA,1050.93176269531
GDP per capita (current US$),NY.GDP.PCAP.CD,Thailand,THA,7628.57603307351
GDP per capita (current US$),NY.GDP.PCAP.CD,Timor-Leste,TLS,1583.07860279061
GDP per capita (current US$),NY.GDP.PCAP.CD,Togo,TGO,848.304534594506
GDP per capita (current US$),NY.GDP.PCAP.CD,Tonga,TON,4878.97868604087
GDP per capita (current US$),NY.GDP.PCAP.CD,Trinidad and Tobago,TTO,15642.4067190576
GDP per capita (current US$),NY.GDP.PCAP.CD,Tunisia,TUN,3477.83618091653
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkiye,TUR,9215.44087472889
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkmenistan,TKM,7344.88020350303
GDP per capita (current US$),NY.GDP.PCAP.CD,Turks and Caicos Islands,TCA,27795.1485608171
GDP per capita (current US$),NY.GDP.PCAP.CD,Tuvalu,TUV,4940.05098268449
GDP per capita (current US$),NY.GDP.PCAP.CD,Uganda,UGA,823.024732902811
GDP per capita (current US$),NY.GDP.PCAP.CD,Ukraine,UKR,3661.45776367188
GDP per capita (current US$),NY.GDP.PCAP.CD,United Arab Emirates,ARE,45376.1708381558
GDP per capita (current US$),NY.GDP.PCAP.CD,United Kingdom,GBR,42662.5353740311
GDP per capita (current US$),NY.GDP.PCAP.CD,United States,USA,65120.3946628653
GDP per capita (current US$),NY.GDP.PCAP.CD,Uruguay,URY,18098.361548609
GDP per capita (current US$),NY.GDP.PCAP.CD,Uzbekistan,UZB,1795.20176845657
GDP per capita (current US$),NY.GDP.PCAP.CD,Vanuatu,VUT,3076.58988588361
GDP per capita (current US$),NY.GDP.PCAP.CD,"Venezuela, RB",VEN,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Viet Nam,VNM,3491.09140990663
GDP per capita (current US$),NY.GDP.PCAP.CD,Virgin Islands (U.S.),VIR,38633.5298915336
GDP per capita (current US$),NY.GDP.PCAP.CD,West Bank and Gaza,PSE,3656.85827137011
GDP per capita (current US$),NY.GDP.PCAP.CD,"Yemen, Rep.",YEM,693.816504026198
GDP per capita (current US$),NY.GDP.PCAP.CD,Zambia,ZMB,1268.12094056241
GDP per capita (current US$),NY.GDP.PCAP.CD,Zimbabwe,ZWE,1421.86859613585
GDP per capita (current US$),NY.GDP.PCAP.CD,Africa Eastern and Southern,AFE,1507.98288075295
GDP per capita (current US$),NY.GDP.PCAP.CD,Africa Western and Central,AFW,1812.44682219421
GDP per capita (current US$),NY.GDP.PCAP.CD,Arab World,ARB,6504.78963270487
GDP per capita (current US$),NY.GDP.PCAP.CD,Caribbean small states,CSS,10405.8032088903
GDP per capita (current US$),NY.GDP.PCAP.CD,Central Europe and the Baltics,CEB,16349.9458268233
GDP per capita (current US$),NY.GDP.PCAP.CD,Early-demographic dividend,EAR,3521.64420581784
GDP per capita (current US$),NY.GDP.PCAP.CD,East Asia & Pacific,EAS,11484.4172716472
GDP per capita (current US$),NY.GDP.PCAP.CD,East Asia & Pacific (excluding high income),EAP,8172.02375582395
GDP per capita (current US$),NY.GDP.PCAP.CD,East Asia & Pacific (IDA & IBRD countries),TEA,8262.81155944634
GDP per capita (current US$),NY.GDP.PCAP.CD,Euro area,EMU,38902.8247794641
GDP per capita (current US$),NY.GDP.PCAP.CD,Europe & Central Asia,ECS,24892.3935494921
GDP per capita (current US$),NY.GDP.PCAP.CD,Europe & Central Asia (excluding high income),ECA,8153.19343366464
GDP per capita (current US$),NY.GDP.PCAP.CD,Europe & Central Asia (IDA & IBRD countries),TEC,9039.80027971004
GDP per capita (current US$),NY.GDP.PCAP.CD,European Union,EUU,35079.5342959551
GDP per capita (current US$),NY.GDP.PCAP.CD,Fragile and conflict affected situations,FCS,1919.7832508586
GDP per capita (current US$),NY.GDP.PCAP.CD,Heavily indebted poor countries (HIPC),HPC,985.130486573086
GDP per capita (current US$),NY.GDP.PCAP.CD,High income,HIC,44725.9950930598
GDP per capita (current US$),NY.GDP.PCAP.CD,IBRD only,IBD,6460.50116507722
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA & IBRD total,IBT,5140.64185490117
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA blend,IDB,1876.65480569221
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA only,IDX,1214.58259193876
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA total,IDA,1434.10009720301
GDP per capita (current US$),NY.GDP.PCAP.CD,Late-demographic dividend,LTE,9979.38342083542
GDP per capita (current US$),NY.GDP.PCAP.CD,Latin America & Caribbean,LCN,8772.56219413791
GDP per capita (current US$),NY.GDP.PCAP.CD,Latin America & Caribbean (excluding high income),LAC,8246.5166728875
GDP per capita (current US$),NY.GDP.PCAP.CD,Latin America & the Caribbean (IDA & IBRD countries),TLA,8593.06130776569
GDP per capita (current US$),NY.GDP.PCAP.CD,Least developed countries: UN classification,LDC,1098.25615521298
GDP per capita (current US$),NY.GDP.PCAP.CD,Low & middle income,LMY,4966.26046019449
GDP per capita (current US$),NY.GDP.PCAP.CD,Low income,LIC,686.222679079934
GDP per capita (current US$),NY.GDP.PCAP.CD,Lower middle income,LMC,2238.51882000162
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle East & North Africa,MEA,7444.85563432703
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle East & North Africa (excluding high income),MNA,3475.85842872456
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle East & North Africa (IDA & IBRD countries),TMN,3473.74136809808
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle income,MIC,5442.66229375372
GDP per capita (current US$),NY.GDP.PCAP.CD,North America,NAC,63203.3738891388
GDP per capita (current US$),NY.GDP.PCAP.CD,Not classified,INX,..
GDP per capita (current US$),NY.GDP.PCAP.CD,OECD members,OED,39583.2257001018
GDP per capita (current US$),NY.GDP.PCAP.CD,Other small states,OSS,13574.6077874429
GDP per capita (current US$),NY.GDP.PCAP.CD,Pacific island small states,PSS,4222.88212863928
GDP per capita (current US$),NY.GDP.PCAP.CD,Post-demographic dividend,PST,45700.0608043909
GDP per capita (current US$),NY.GDP.PCAP.CD,Pre-demographic dividend,PRE,1489.89883027873
GDP per capita (current US$),NY.GDP.PCAP.CD,Small states,SST,12448.873754335
GDP per capita (current US$),NY.GDP.PCAP.CD,South Asia,SAS,1965.09423623942
GDP per capita (current US$),NY.GDP.PCAP.CD,South Asia (IDA & IBRD),TSA,1965.09423623942
GDP per capita (current US$),NY.GDP.PCAP.CD,Sub-Saharan Africa,SSF,1631.31214101577
GDP per capita (current US$),NY.GDP.PCAP.CD,Sub-Saharan Africa (excluding high income),SSA,1629.98722074952
GDP per capita (current US$),NY.GDP.PCAP.CD,Sub-Saharan Africa (IDA & IBRD countries),TSS,1631.31214101577
GDP per capita (current US$),NY.GDP.PCAP.CD,Upper middle income,UMC,9023.20299187992
GDP per capita (current US$),NY.GDP.PCAP.CD,World,WLD,11338.1503188025
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 03/28/2024,,,,
